ACH2	AT1G01710
PEX11c	AT1G01820
PEX6	AT1G03000
st4	AT1G04290
KAT1	AT1G04710
ACX3	AT1G06290
ACX6	AT1G06310
ACD31.2	AT1G06460
NDA1	AT1G07180
GLX1	AT1G11840
GAPC2	AT1G13440
UP6	AT1G16730
DHAR	AT1G19570
4Cl3	AT1G20480
OPCL1	AT1G20510
AAE1	AT1G20560
CAT3	AT1G20620
CAT1	AT1G20630
ATF1	AT1G21770
GGT1	AT1G23310
DEG15	AT1G28320
UP9	AT1G29120
PEX7	AT1G29260
AAE14	AT1G30520
PEX11a	AT1G47750
st1	AT1G48320
pxPfkB	AT1G49350
NQR	AT1G49670
ICDH	AT1G54340
NS	AT1G60550
ECI	AT1G65520
PAO4	AT1G65840
BZO1	AT1G65880
AAE12	AT1G65890
HPR1	AT1G68010
GGT2	AT1G70580
ECH2	AT1G76150
ATF2	AT1G77540
PEX2	AT1G79810
SMP2	AT2G02510
OPR3	AT2G06050
AGT1	AT2G13360
DRP3B	AT2G14120
MDH1	AT2G22780
SOX	AT2G24580
Uri	AT2G26230
PEX10	AT2G26350
CoAE	AT2G27490
st5	AT2G29590
NDA2	AT2G29990
CHYH1	AT2G30650
CHYH2	AT2G30660
UP3	AT2G31670
KAT2	AT2G33150
ACX5	AT2G35690
GLH	AT2G38180
PXN/PMP38/PMP36	AT2G39970
PM16	AT2G41790
CuAO	AT2G42490
CSY3	AT2G42790
PAO2	AT2G43020
PEN2	AT2G44490
PEX16	AT2G45690
PEX11d	AT2G45740
SO	AT3G01910
SDRc	AT3G01980
6PGDH	AT3G02360
PEX19A	AT3G03490
PEX12	AT3G04460
PNC1	AT3G05290
LACS6	AT3G05970
IBR3	AT3G06810
MFP2	AT3G06860
CML3	AT3G07490
PEX13	AT3G07560
SDRb	AT3G12800
HAOX1/2	AT3G14130
HAOX1/2	AT3G14150
GOX1/2	AT3G14415
GOX1/2	AT3G14420
HBCDH	AT3G15290
AAE7	AT3G16910
GPK1	AT3G17420
PEX3A	AT3G18160
SCO3	AT3G19570
DRP5B	AT3G19720
ICL	AT3G21720
PEX22	AT3G21865
GR1	AT3G24170
MDAR4	AT3G27820
PEX11b	AT3G47430
B12D1	AT3G48140
BADH	AT3G48170
MIF	AT3G51660
ACX4	AT3G51840
MDAR1	AT3G52880
SDRd	AT3G55290
CDC	AT3G55640
ZnDH	AT3G56460
HIT3	AT3G56490
FIS1A	AT3G57090
CP	AT3G57810
CSY1	AT3G58740
CSY2	AT3G58750
PMD1	AT3G58840
PAO3	AT3G59050
PEX11e	AT3G61070
st3	AT3G61200
ACH	AT4G00520
EH3	AT4G02340
MCD	AT4G04320
PMP22	AT4G04470
4CL1	AT4G05160
IBR1	AT4G05530
NDPK1	AT4G09320
SCPL20	AT4G12910
IBR10	AT4G14430
ECHIA	AT4G16210
HIT1	AT4G16566
ACX1	AT4G16760
GOX3	AT4G18360
4Cl5	AT4G19010
NDB1	AT4G28220
AIM1	AT4G29010
DRP3A	AT4G33650
APX3	AT4G35000
CAT2	AT4G35090
RDL1	AT4G36880
AGT2	AT4G39660
PXA1/CTS	AT4G39850
MLS	AT5G03860
BIOTIN_F	AT5G04620
CPK1	AT5G04870
PEX1	AT5G08470
MDH2	AT5G09660
ASP3	AT5G11520
ELT1	AT5G11910
FIS1B	AT5G12390
AAE5	AT5G16370
ATMS1	AT5G17920
CSD3	AT5G18100
NUDT19	AT5G20070
AAE17	AT5G23050
6PGL	AT5G24400
PEX4	AT5G25760
PNC2	AT5G27520
LACS7	AT5G27600
AtHsp15.7	AT5G37670
GSTT1	AT5G41210
SCP2	AT5G42890
AtDCI	AT5G43280
UP5	AT5G44250
LON2	AT5G47040
ACAT1.3	AT5G47720
ACAT2	AT5G48230
KAT5	AT5G48880
PEX5	AT5G56290
TLP	AT5G58220
PEX14	AT5G62810
4CL2	AT5G63380
ACX2	AT5G65110
CHY1	AT5G65940
AAE18	AT1G48635
PEX3B	AT1G50510
IndA	AT1G55320
NADK3	AT1G78590
APEM9	AT3G10572
PEX19B	AT5G17550
MIA40	AT5G23395
HIT2	AT5G48545
