os_locus	zm_locus	symbols
LOC_Os04g52690	Zm00001d002462	PEX6 (Zm00001d002462)
LOC_Os04g52690	Zm00001d026313	PEX6 (Zm00001d026313)
LOC_Os08g44240	Zm00001d049974	PEX1
LOC_Os12g16350	Zm00001d021132	CHYH1
LOC_Os03g10820	Zm00001d048137	SCO3
LOC_Os08g39080	Zm00001d052851	PEX5
LOC_Os06g12630	Zm00001d037240	DHAR
LOC_Os05g09370	Zm00001d009903	pxPfkB
LOC_Os09g36300	Zm00001d021301	LON2
LOC_Os07g05810	Zm00001d007870	PEX13
LOC_Os02g01150	Zm00001d014919	HPR
LOC_Os02g35310	Zm00001d044906	OPR3
LOC_Os11g04980	Zm00001d052485	LACS7
LOC_Os09g23070	Zm00001d005711	MCD
LOC_Os11g37730	Zm00001d035642	GSTT1
LOC_Os07g42440	Zm00001d006868	HAOX1
LOC_Os10g42800	Zm00001d030132	4CL1
LOC_Os09g21230	Zm00001d020343	AAE17
LOC_Os06g48970	Zm00001d014696	APEM9
LOC_Os12g07880	Zm00001d023583	DRP5B
LOC_Os03g15860	Zm00001d028542	PXN/PMP38/PMP36 (Zm00001d028542)
LOC_Os04g39900	Zm00001d003316	PEN2
LOC_Os09g28570	Zm00001d020727	NQR
LOC_Os01g47350	Zm00001d005991	NS (Zm00001d005991)
LOC_Os02g43720	Zm00001d017458	NS (Zm00001d017458)
LOC_Os07g41810	Zm00001d022112	UP3
LOC_Os06g01390	Zm00001d045251	ACX5
LOC_Os07g38270	Zm00001d021846	PM16
LOC_Os07g47820	Zm00001d007158	IBR3
LOC_Os02g56850	Zm00001d018454	GR1
LOC_Os09g31280	Zm00001d031436	CP
LOC_Os01g15120	Zm00001d040290	EH3
LOC_Os07g17970	Zm00001d019957	4CL1
LOC_Os06g47000	Zm00001d036557	NDB1
LOC_Os09g14510	Zm00001d020051	PEX3B
LOC_Os03g02590	Zm00001d027366	PEX11d
LOC_Os05g02530	Zm00001d035595	DHAR
LOC_Os01g61410	Zm00001d012464	NDA1
LOC_Os08g39300	Zm00001d031402	SGAT1
LOC_Os08g39300	Zm00001d031364	SGAT1
LOC_Os08g39300	Zm00001d031349	SGAT1
LOC_Os01g24680	Zm00001d009182	MFP2
LOC_Os07g05820	Zm00001d018810	HAOX1
LOC_Os07g34520	Zm00001d021666	ICL
LOC_Os05g46210	Zm00001d038849	ELT1
LOC_Os12g42884	Zm00001d031128	ATMS1
LOC_Os11g40070	Zm00001d048836	UP5
LOC_Os01g02020	Zm00001d008432	ACAT1.3
LOC_Os03g27320	Zm00001d047217	TLP
LOC_Os06g03660	Zm00001d036001	PEX11c
LOC_Os02g03070	Zm00001d053931	PEX16
LOC_Os02g44220	Zm00001d017501	PEX19A
LOC_Os01g73530	Zm00001d011091	PXA1/CTS
LOC_Os04g47120	Zm00001d026144	ACH2
