"os_ids"	"bs_id"	"symbols"
"LOC_Os12g16350"	"Sobic.001G290000"	"CHYH1 (Sobic.001G290000)"
"LOC_Os10g42210"	"Sobic.001G290000"	"CHYH1 (Sobic.001G290000)"
"LOC_Os11g37730"	"Sobic.005G175000"	"GSTT1 (Sobic.005G175000)"
"LOC_Os11g37730"	"Sobic.001G000700"	"GSTT1 (Sobic.001G000700)"
"LOC_Os11g37750"	"Sobic.005G175000"	"GSTT1 (Sobic.005G175000)"
"LOC_Os11g37750"	"Sobic.001G000700"	"GSTT1 (Sobic.001G000700)"
"LOC_Os07g41810"	"Sobic.002G371400"	"UP3"
"LOC_Os02g43720"	"Sobic.004G297400"	"NS (Sobic.004G297400)"
"LOC_Os05g01090"	"Sobic.003G103200"	"PEX14 (Sobic.003G103200)"
"LOC_Os05g01090"	"Sobic.009G000500"	"PEX14 (Sobic.009G000500)"
"LOC_Os05g01090"	"Sobic.003G220900"	"PEX14 (Sobic.003G220900)"
"LOC_Os06g02144"	"Sobic.010G009300"	"6PGDH"
"LOC_Os09g31280"	"Sobic.007G211300"	"CP"
"LOC_Os05g09370"	"Sobic.002G096300"	"pxPfkB (Sobic.002G096300)"
"LOC_Os05g09370"	"Sobic.006G016500"	"pxPfkB (Sobic.006G016500)"
"LOC_Os09g21230"	"Sobic.002G189400"	"AAE17"
"LOC_Os05g09370"	"Sobic.009G112300"	"pxPfkB (Sobic.009G112300)"
"LOC_Os11g40070"	"Sobic.005G187200"	"UP5"
"LOC_Os12g04990"	"Sobic.008G010800"	"LACS6"
"LOC_Os03g27320"	"Sobic.001G350400"	"TLP"
"LOC_Os07g42440"	"Sobic.002G374650"	"HAOX1 (Sobic.002G374650)"
"LOC_Os06g12630"	"Sobic.010G095200"	"DHAR (Sobic.010G095200)"
"LOC_Os05g29880"	"Sobic.009G111400"	"MFP2 (Sobic.009G111400)"
"LOC_Os12g42884"	"Sobic.008G178800"	"ATMS1"
"LOC_Os02g56850"	"Sobic.004G341200"	"GR1"
"LOC_Os08g09250"	"Sobic.007G069200"	"GLX1"
"LOC_Os08g39300"	"Sobic.007G213700"	"SGAT1"
"LOC_Os03g05780"	"Sobic.001G500800"	"4CL1 (Sobic.001G500800)"
"LOC_Os03g11960"	"Sobic.006G185700"	"CSD3 (Sobic.006G185700)"
"LOC_Os03g11960"	"Sobic.001G453800"	"CSD3 (Sobic.001G453800)"
"LOC_Os07g05820"	"Sobic.002G036000"	"HAOX1 (Sobic.002G036000)"
"LOC_Os07g38280"	"Sobic.002G345700"	"PM16 (Sobic.002G345700)"
"LOC_Os01g59750"	"Sobic.010G221600"	"HIT3 (Sobic.010G221600)"
"LOC_Os01g59750"	"Sobic.001G388600"	"HIT3 (Sobic.001G388600)"
"LOC_Os03g61340"	"Sobic.001G025300"	"EH3 (Sobic.001G025300)"
"LOC_Os03g61340"	"Sobic.010G127500"	"EH3 (Sobic.010G127500)"
"LOC_Os06g47000"	"Sobic.010G235000"	"NDB1 (Sobic.010G235000)"
"LOC_Os01g61410"	"Sobic.003G343500"	"NDA1"
"LOC_Os09g04730"	"Sobic.002G111200"	"IBR1 (Sobic.002G111200)"
"LOC_Os09g04730"	"Sobic.009G219500"	"IBR1 (Sobic.009G219500)"
"LOC_Os05g46210"	"Sobic.009G213300"	"ELT1 (Sobic.009G213300)"
"LOC_Os12g43630"	"Sobic.008G186200"	"MDH1 (Sobic.008G186200)"
"LOC_Os02g03070"	"Sobic.004G021100"	"PEX16"
"LOC_Os01g24030"	"Sobic.004G015400"	"AAE1 (Sobic.004G015400)"
"LOC_Os08g39080"	"Sobic.007G217000"	"PEX5"
"LOC_Os03g02590"	"Sobic.001G531500"	"PEX11d"
"LOC_Os03g63290"	"Sobic.001G012100"	"SDRc"
"LOC_Os03g10820"	"Sobic.001G463800"	"SCO3"
"LOC_Os04g39880"	"Sobic.006G117100"	"PEN2 (Sobic.006G117100)"
"LOC_Os04g39880"	"Sobic.006G117300"	"PEN2 (Sobic.006G117300)"
"LOC_Os04g52690"	"Sobic.006G216800"	"PEX6"
"LOC_Os07g41800"	"Sobic.002G371300"	"PEX10"
"LOC_Os07g34520"	"Sobic.002G324000"	"ICL"
"LOC_Os09g28570"	"Sobic.002G226900"	"NQR"
"LOC_Os12g35890"	"Sobic.002G253500"	"SOX (Sobic.002G253500)"
"LOC_Os09g14510"	"Sobic.002G166300"	"PEX3B"
"LOC_Os06g48970"	"Sobic.010G253800"	"APEM9"
"LOC_Os06g01390"	"Sobic.010G001900"	"ACX5 (Sobic.010G001900)"
"LOC_Os06g01390"	"Sobic.010G049100"	"ACX5 (Sobic.010G049100)"
"LOC_Os06g04910"	"Sobic.010G030700"	"NUDT19"
